"Time [s]","Committed size","Free size","Used size"
0.0,131072000,125952000,5120000
1.0,131072000,125952000,5120000
2.0,131072000,125952000,5120000
3.0,131072000,125952000,5120000
4.0,131072000,125952000,5120000
5.01,131072000,125952000,5120000
6.01,131072000,125952000,5120000
7.01,131072000,125952000,5120000
8.01,131072000,125952000,5120000
9.01,131072000,125952000,5120000
10.01,131072000,125952000,5120000
11.01,131072000,125952000,5120000
12.02,131072000,125952000,5120000
13.02,131072000,125952000,5120000
14.02,131072000,125952000,5120000
15.02,131072000,125952000,5120000
16.02,131072000,125952000,5120000
17.02,131072000,125952000,5120000
18.02,131072000,125952000,5120000
19.02,131072000,125952000,5120000
20.03,131072000,125952000,5120000
21.03,131072000,125952000,5120000
22.03,131072000,125952000,5120000
23.03,131072000,125952000,5120000
24.03,131072000,125952000,5120000
25.03,131072000,125952000,5120000
26.03,131072000,125952000,5120000
27.03,131072000,125952000,5120000
28.04,131072000,125952000,5120000
29.04,131072000,125952000,5120000
30.04,131072000,125952000,5120000
31.04,131072000,125952000,5120000
32.04,131072000,125952000,5120000
33.04,131072000,125952000,5120000
34.05,131072000,125952000,5120000
35.05,131072000,125952000,5120000
36.05,131072000,125952000,5120000
37.05,131072000,125952000,5120000
38.08,131072000,125952000,5120000
39.08,131072000,125952000,5120000
40.08,131072000,125952000,5120000
41.08,131072000,125952000,5120000
42.08,131072000,125952000,5120000
43.08,131072000,125952000,5120000
44.09,131072000,125952000,5120000
45.09,131072000,125952000,5120000
46.09,131072000,125952000,5120000
47.09,131072000,125952000,5120000
48.1,131072000,125952000,5120000
49.1,131072000,125952000,5120000
50.1,131072000,125952000,5120000
51.1,131072000,125952000,5120000
52.11,131072000,123051000,8021000
53.11,131072000,123051000,8021000
54.12,131072000,123051000,8021000
55.12,131072000,123051000,8021000
56.14,131072000,123051000,8021000
57.14,131072000,123051000,8021000
58.15,131072000,123051000,8021000
59.15,131072000,123051000,8021000
60.15,131072000,122880000,8192000
61.16,131072000,122880000,8192000
62.17,131072000,122880000,8192000
63.17,131072000,122880000,8192000
64.17,131072000,122880000,8192000
65.18,131072000,122880000,8192000
66.19,131072000,122606000,8466000
67.19,131072000,122606000,8466000
68.19,131072000,122606000,8466000
69.21,131072000,122606000,8466000
70.21,131072000,122606000,8466000
71.22,131072000,122606000,8466000
72.22,131072000,122606000,8466000
73.22,131072000,122606000,8466000
74.22,131072000,122606000,8466000
75.22,131072000,122606000,8466000
76.22,131072000,122606000,8466000
77.23,131072000,122606000,8466000
78.23,131072000,122606000,8466000
79.23,131072000,122606000,8466000
80.23,131072000,122606000,8466000
81.23,131072000,122606000,8466000
82.23,131072000,122606000,8466000
83.23,131072000,122606000,8466000
84.24,131072000,122606000,8466000
85.24,131072000,122606000,8466000
86.25,131072000,122606000,8466000
87.25,131072000,122606000,8466000
88.26,131072000,122606000,8466000
89.26,131072000,122339000,8733000
90.27,131072000,122339000,8733000
91.27,131072000,122339000,8733000
92.27,131072000,122339000,8733000
93.27,131072000,122339000,8733000
94.28,131072000,122339000,8733000
95.28,131072000,122339000,8733000
96.28,131072000,122339000,8733000
97.28,131072000,122339000,8733000
98.29,131072000,122339000,8733000
99.29,131072000,122339000,8733000
100.3,131072000,122339000,8733000
101.3,131072000,122073000,8999000
102.3,131072000,122073000,8999000
103.3,131072000,122073000,8999000
104.33,131072000,122073000,8999000
105.33,131072000,122073000,8999000
106.33,131072000,122073000,8999000
107.33,131072000,122073000,8999000
108.33,131072000,122073000,8999000
109.33,131072000,122073000,8999000
110.34,131072000,122073000,8999000
111.34,131072000,122073000,8999000
112.35,131072000,122073000,8999000
113.36,131072000,122073000,8999000
114.36,131072000,122073000,8999000
115.36,131072000,122073000,8999000
116.36,131072000,122073000,8999000
117.36,131072000,122073000,8999000
118.38,131072000,122073000,8999000
119.38,131072000,122073000,8999000
120.38,131072000,122073000,8999000
121.38,131072000,122073000,8999000
122.39,131072000,122073000,8999000
123.39,131072000,122073000,8999000
124.39,131072000,122073000,8999000
125.39,131072000,122073000,8999000
126.39,131072000,122073000,8999000
127.39,131072000,122073000,8999000
128.4,131072000,122073000,8999000
129.41,131072000,122073000,8999000
130.42,131072000,122073000,8999000
131.42,131072000,122073000,8999000
132.42,131072000,122073000,8999000
133.42,131072000,122073000,8999000
134.42,131072000,122073000,8999000
135.42,131072000,122073000,8999000
136.43,131072000,122073000,8999000
137.43,131072000,122073000,8999000
138.44,131072000,122073000,8999000
139.45,131072000,122073000,8999000
140.45,131072000,122073000,8999000
141.45,131072000,122073000,8999000
142.45,131072000,122073000,8999000
143.45,131072000,122073000,8999000
144.45,131072000,122073000,8999000
145.46,131072000,122073000,8999000
146.46,131072000,122073000,8999000
147.46,131072000,122073000,8999000
148.46,131072000,122073000,8999000
149.46,131072000,122073000,8999000
150.47,131072000,122073000,8999000
151.47,131072000,122073000,8999000
152.47,131072000,122073000,8999000
153.47,131072000,122073000,8999000
154.48,131072000,122073000,8999000
155.48,131072000,122073000,8999000
156.49,131072000,122073000,8999000
157.49,131072000,122073000,8999000
158.5,131072000,122073000,8999000
159.5,131072000,122073000,8999000
160.5,131072000,122073000,8999000
161.5,131072000,122073000,8999000
162.5,131072000,122073000,8999000
163.5,131072000,122073000,8999000
164.52,131072000,122073000,8999000
165.52,131072000,122073000,8999000
166.52,131072000,122073000,8999000
167.52,131072000,122073000,8999000
168.53,131072000,122073000,8999000
169.53,131072000,122073000,8999000
170.53,131072000,122073000,8999000
171.53,131072000,122073000,8999000
172.53,131072000,122073000,8999000
173.53,131072000,122073000,8999000
174.53,131072000,122073000,8999000
175.53,131072000,122073000,8999000
176.54,131072000,122073000,8999000
177.54,131072000,122073000,8999000
178.56,131072000,122073000,8999000
179.56,131072000,122073000,8999000
180.57,131072000,122073000,8999000
181.57,131072000,122073000,8999000
182.57,131072000,122073000,8999000
183.57,131072000,122073000,8999000
184.57,131072000,122073000,8999000
185.58,131072000,122073000,8999000
186.58,131072000,122073000,8999000
187.58,131072000,122073000,8999000
188.6,131072000,121856000,9216000
189.6,131072000,121856000,9216000
190.61,131072000,121856000,9216000
191.61,131072000,121856000,9216000
192.61,131072000,121856000,9216000
193.61,131072000,121856000,9216000
194.62,131072000,121856000,9216000
195.62,131072000,121856000,9216000
196.62,131072000,121856000,9216000
197.63,131072000,121856000,9216000
198.64,131072000,121856000,9216000
199.64,131072000,121856000,9216000
200.65,131072000,121856000,9216000
201.65,131072000,121856000,9216000
202.65,131072000,121856000,9216000
203.65,131072000,121856000,9216000
204.66,131072000,121856000,9216000
205.66,131072000,121856000,9216000
206.66,131072000,121856000,9216000
207.66,131072000,121856000,9216000
208.68,131072000,121856000,9216000
209.68,131072000,121856000,9216000
210.68,131072000,121856000,9216000
211.68,131072000,121856000,9216000
212.69,131072000,121856000,9216000
213.69,131072000,121856000,9216000
214.71,131072000,121856000,9216000
215.71,131072000,121856000,9216000
216.71,131072000,121856000,9216000
217.71,131072000,121856000,9216000
218.72,131072000,121856000,9216000
219.72,131072000,121856000,9216000
220.72,131072000,121856000,9216000
221.72,131072000,121856000,9216000
222.74,131072000,121856000,9216000
223.74,131072000,121856000,9216000
224.74,131072000,121856000,9216000
225.74,131072000,121856000,9216000
226.75,131072000,121856000,9216000
227.75,131072000,121856000,9216000
228.75,131072000,121856000,9216000
229.75,131072000,121856000,9216000
230.76,131072000,121856000,9216000
231.76,131072000,121856000,9216000
232.78,131072000,121856000,9216000
233.78,131072000,121856000,9216000
234.78,131072000,121856000,9216000
235.78,131072000,121856000,9216000
236.79,131072000,121856000,9216000
237.79,131072000,121856000,9216000
238.79,131072000,121856000,9216000
239.79,131072000,121856000,9216000
240.79,131072000,121856000,9216000
241.79,131072000,121856000,9216000
242.79,131072000,121856000,9216000
243.79,131072000,121856000,9216000
244.8,131072000,121856000,9216000
245.8,131072000,121856000,9216000
246.8,131072000,121856000,9216000
247.8,131072000,121856000,9216000
248.81,131072000,121856000,9216000
249.81,131072000,121856000,9216000
250.82,131072000,121856000,9216000
251.83,131072000,121856000,9216000
252.84,131072000,121856000,9216000
253.84,131072000,121856000,9216000
254.84,131072000,121856000,9216000
255.84,131072000,121856000,9216000
256.85,131072000,121856000,9216000
257.85,131072000,121856000,9216000
258.85,131072000,121856000,9216000
259.85,131072000,121856000,9216000
260.86,131072000,121856000,9216000
261.87,131072000,121856000,9216000
262.88,131072000,121856000,9216000
263.88,131072000,121856000,9216000
264.88,131072000,121856000,9216000
265.88,131072000,121856000,9216000
266.89,131072000,121856000,9216000
267.89,131072000,121856000,9216000
268.89,131072000,121856000,9216000
269.89,131072000,121856000,9216000
270.89,131072000,121856000,9216000
271.89,131072000,121856000,9216000
272.89,131072000,121856000,9216000
273.9,131072000,121856000,9216000
274.9,131072000,121856000,9216000
275.9,131072000,121856000,9216000
276.91,131072000,121856000,9216000
277.91,131072000,121856000,9216000
278.93,131072000,121856000,9216000
279.93,131072000,121856000,9216000
280.93,131072000,121856000,9216000
281.93,131072000,121856000,9216000
282.95,131072000,121856000,9216000
283.95,131072000,121856000,9216000
284.95,131072000,121856000,9216000
285.95,131072000,121856000,9216000
286.95,131072000,121856000,9216000
287.96,131072000,121856000,9216000
288.96,131072000,121856000,9216000
289.96,131072000,121856000,9216000
290.97,131072000,121856000,9216000
291.97,131072000,121856000,9216000
292.97,131072000,121856000,9216000
293.97,131072000,121856000,9216000
294.97,131072000,121856000,9216000
295.97,131072000,121856000,9216000
296.98,131072000,121856000,9216000
297.98,131072000,121856000,9216000
298.98,131072000,121856000,9216000
299.99,131072000,121856000,9216000
300.99,131072000,121856000,9216000
301.99,131072000,121856000,9216000
303.0,131072000,121856000,9216000
304.0,131072000,121856000,9216000
305.02,131072000,121856000,9216000
306.02,131072000,121856000,9216000
307.02,131072000,121856000,9216000
308.02,131072000,121856000,9216000
309.03,131072000,121856000,9216000
310.03,131072000,121856000,9216000
311.04,131072000,121856000,9216000
312.04,131072000,121856000,9216000
313.05,131072000,121856000,9216000
314.05,131072000,121856000,9216000
315.05,131072000,121856000,9216000
316.05,131072000,121856000,9216000
317.06,131072000,121856000,9216000
318.06,131072000,121856000,9216000
319.07,131072000,121856000,9216000
320.07,131072000,121856000,9216000
321.07,131072000,121856000,9216000
322.07,131072000,121856000,9216000
323.07,131072000,121856000,9216000
324.08,131072000,121856000,9216000
325.08,131072000,121856000,9216000
326.08,131072000,121856000,9216000
327.09,131072000,121856000,9216000
328.09,131072000,121856000,9216000
329.1,131072000,121856000,9216000
330.1,131072000,121856000,9216000
331.1,131072000,121856000,9216000
332.1,131072000,121856000,9216000
333.11,131072000,121856000,9216000
334.11,131072000,121856000,9216000
335.12,131072000,121856000,9216000
336.12,131072000,121856000,9216000
337.13,131072000,121856000,9216000
338.13,131072000,121856000,9216000
339.13,131072000,121856000,9216000
340.13,131072000,121856000,9216000
341.13,131072000,121856000,9216000
342.13,131072000,121856000,9216000
343.13,131072000,121856000,9216000
344.13,131072000,121856000,9216000
345.15,131072000,121856000,9216000
346.15,131072000,121856000,9216000
347.15,131072000,121856000,9216000
348.15,131072000,121856000,9216000
349.15,131072000,121856000,9216000
350.15,131072000,121856000,9216000
351.16,131072000,121856000,9216000
352.16,131072000,121856000,9216000
353.16,131072000,121856000,9216000
354.16,131072000,121856000,9216000
355.17,131072000,121856000,9216000
356.17,131072000,121856000,9216000
357.17,131072000,121856000,9216000
358.17,131072000,121856000,9216000
359.18,131072000,121856000,9216000
360.18,131072000,121856000,9216000
361.19,131072000,121856000,9216000
362.19,131072000,121856000,9216000
363.21,131072000,121856000,9216000
364.21,131072000,121856000,9216000
365.22,131072000,121856000,9216000
366.22,131072000,121856000,9216000
367.23,131072000,121856000,9216000
368.23,131072000,121856000,9216000
369.24,131072000,121856000,9216000
370.24,131072000,121856000,9216000
371.24,131072000,121856000,9216000
372.24,131072000,121856000,9216000
373.24,131072000,121856000,9216000
374.24,131072000,121856000,9216000
375.25,131072000,121856000,9216000
376.25,131072000,121856000,9216000
377.28,131072000,121856000,9216000
378.28,131072000,121856000,9216000
379.28,131072000,121856000,9216000
380.28,131072000,121856000,9216000
381.28,131072000,121856000,9216000
382.28,131072000,121856000,9216000
383.28,131072000,121856000,9216000
384.28,131072000,121856000,9216000
385.28,131072000,121856000,9216000
386.28,131072000,121856000,9216000
387.31,131072000,121856000,9216000
388.31,131072000,121856000,9216000
389.31,131072000,121856000,9216000
390.31,131072000,121856000,9216000
391.32,131072000,121856000,9216000
392.32,131072000,121856000,9216000
393.33,131072000,121856000,9216000
394.33,131072000,121856000,9216000
395.33,131072000,121856000,9216000
396.33,131072000,121856000,9216000
397.34,131072000,121856000,9216000
398.34,131072000,121856000,9216000
399.35,131072000,121856000,9216000
400.36,131072000,121856000,9216000
401.37,131072000,121856000,9216000
402.37,131072000,121856000,9216000
403.37,131072000,121856000,9216000
404.37,131072000,121856000,9216000
405.37,131072000,121856000,9216000
406.37,131072000,121856000,9216000
407.37,131072000,121856000,9216000
408.37,131072000,121856000,9216000
409.37,131072000,121856000,9216000
410.38,131072000,121856000,9216000
411.38,131072000,121856000,9216000
412.38,131072000,121856000,9216000
413.38,131072000,121856000,9216000
414.39,131072000,121856000,9216000
415.41,131072000,121856000,9216000
416.41,131072000,121856000,9216000
417.41,131072000,121856000,9216000
418.41,131072000,121856000,9216000
419.41,131072000,121856000,9216000
420.41,131072000,121856000,9216000
421.42,131072000,121856000,9216000
422.42,131072000,121856000,9216000
423.42,131072000,121856000,9216000
424.43,131072000,121856000,9216000
425.44,131072000,121856000,9216000
426.44,131072000,121856000,9216000
427.45,131072000,121856000,9216000
428.45,131072000,121856000,9216000
429.45,131072000,121856000,9216000
430.45,131072000,121856000,9216000
431.46,131072000,121856000,9216000
432.46,131072000,121854000,9218000
433.46,131072000,121854000,9218000
434.46,131072000,121587000,9485000
435.47,131072000,121587000,9485000
436.47,131072000,121587000,9485000
437.48,131072000,121587000,9485000
438.48,131072000,121587000,9485000
439.49,131072000,121587000,9485000
440.49,131072000,121587000,9485000
441.49,131072000,121587000,9485000
442.49,131072000,121587000,9485000
443.49,131072000,121587000,9485000
444.49,131072000,121587000,9485000
445.52,131072000,121587000,9485000
446.52,131072000,121587000,9485000
447.53,131072000,121587000,9485000
448.53,131072000,121587000,9485000
449.54,131072000,121587000,9485000
450.54,131072000,121587000,9485000
451.54,131072000,121587000,9485000
452.54,131072000,121587000,9485000
453.56,131072000,121587000,9485000
454.56,131072000,121587000,9485000
455.56,131072000,121587000,9485000
456.56,131072000,121587000,9485000
457.57,131072000,121587000,9485000
458.57,131072000,121587000,9485000
459.59,131072000,121587000,9485000
460.59,131072000,121587000,9485000
461.59,131072000,121587000,9485000
462.59,131072000,121587000,9485000
463.59,131072000,121587000,9485000
464.59,131072000,121587000,9485000
465.61,131072000,121587000,9485000
466.61,131072000,121587000,9485000
467.62,131072000,121587000,9485000
468.63,131072000,121587000,9485000
469.63,131072000,121587000,9485000
470.63,131072000,121587000,9485000
471.63,131072000,121587000,9485000
472.63,131072000,121587000,9485000
473.64,131072000,121587000,9485000
474.64,131072000,121587000,9485000
475.65,131072000,121587000,9485000
476.65,131072000,121587000,9485000
477.65,131072000,121587000,9485000
478.65,131072000,121587000,9485000
479.67,131072000,121587000,9485000
480.67,131072000,121587000,9485000
481.68,131072000,121587000,9485000
482.68,131072000,121587000,9485000
483.68,131072000,121587000,9485000
484.68,131072000,121587000,9485000
485.68,131072000,121587000,9485000
486.68,131072000,121587000,9485000
487.69,131072000,121587000,9485000
488.69,131072000,121587000,9485000
489.7,131072000,121587000,9485000
490.7,131072000,121587000,9485000
491.72,131072000,121587000,9485000
492.72,131072000,121587000,9485000
493.72,131072000,121587000,9485000
494.72,131072000,121587000,9485000
495.72,131072000,121587000,9485000
496.72,131072000,121587000,9485000
497.73,131072000,121587000,9485000
498.73,131072000,121587000,9485000
499.75,131072000,121587000,9485000
500.75,131072000,121587000,9485000
501.77,131072000,121587000,9485000
502.77,131072000,121587000,9485000
503.77,131072000,121587000,9485000
504.77,131072000,121587000,9485000
505.79,131072000,121587000,9485000
506.79,131072000,121587000,9485000
507.79,131072000,121587000,9485000
508.79,131072000,121587000,9485000
509.8,131072000,121587000,9485000
510.8,131072000,121587000,9485000
511.82,131072000,121587000,9485000
512.82,131072000,121587000,9485000
513.83,131072000,121587000,9485000
514.83,131072000,121587000,9485000
515.84,131072000,121587000,9485000
516.85,131072000,121587000,9485000
517.85,131072000,121587000,9485000
518.85,131072000,121587000,9485000
519.85,131072000,121587000,9485000
520.85,131072000,121587000,9485000
521.87,131072000,121587000,9485000
522.87,131072000,121587000,9485000
523.87,131072000,121587000,9485000
524.87,131072000,121587000,9485000
525.89,131072000,121587000,9485000
526.89,131072000,121587000,9485000
527.9,131072000,121587000,9485000
528.91,131072000,121587000,9485000
529.91,131072000,121587000,9485000
530.91,131072000,121587000,9485000
531.91,131072000,121587000,9485000
532.92,131072000,121587000,9485000
533.92,131072000,121587000,9485000
534.92,131072000,121587000,9485000
535.92,131072000,121587000,9485000
536.92,131072000,121587000,9485000
537.92,131072000,121587000,9485000
538.92,131072000,121587000,9485000
539.94,131072000,121587000,9485000
540.94,131072000,121587000,9485000
541.94,131072000,121587000,9485000
542.94,131072000,121587000,9485000
543.96,131072000,121587000,9485000
544.96,131072000,121587000,9485000
545.97,131072000,121587000,9485000
546.97,131072000,121587000,9485000
547.98,131072000,121587000,9485000
548.98,131072000,121587000,9485000
549.99,131072000,121587000,9485000
550.99,131072000,121587000,9485000
551.99,131072000,121587000,9485000
552.99,131072000,121587000,9485000
553.99,131072000,121587000,9485000
554.99,131072000,121587000,9485000
556.01,131072000,121587000,9485000
557.01,131072000,121587000,9485000
558.02,131072000,121587000,9485000
559.02,131072000,121587000,9485000
560.02,131072000,121587000,9485000
561.02,131072000,121587000,9485000
562.04,131072000,121587000,9485000
563.04,131072000,121587000,9485000
564.04,131072000,121587000,9485000
565.04,131072000,121587000,9485000
566.04,131072000,121587000,9485000
567.04,131072000,121587000,9485000
568.06,131072000,121587000,9485000
569.06,131072000,121587000,9485000
570.07,131072000,121587000,9485000
571.07,131072000,121587000,9485000
572.07,131072000,121587000,9485000
573.07,131072000,121587000,9485000
574.09,131072000,121587000,9485000
575.09,131072000,121587000,9485000
576.09,131072000,121587000,9485000
577.09,131072000,121587000,9485000
578.1,131072000,121587000,9485000
579.1,131072000,121587000,9485000
580.11,131072000,121587000,9485000
581.11,131072000,121587000,9485000
582.11,131072000,121587000,9485000
583.12,131072000,121587000,9485000
584.13,131072000,121587000,9485000
585.13,131072000,121587000,9485000
586.13,131072000,121587000,9485000
587.14,131072000,121587000,9485000
588.15,131072000,121587000,9485000
589.15,131072000,121587000,9485000
590.15,131072000,121587000,9485000
591.15,131072000,121587000,9485000
592.17,131072000,121587000,9485000
593.17,131072000,121587000,9485000
594.17,131072000,121587000,9485000
595.17,131072000,121587000,9485000
596.17,131072000,121587000,9485000
597.17,131072000,121587000,9485000
598.18,131072000,121587000,9485000
599.18,131072000,121587000,9485000
600.19,131072000,121587000,9485000
601.19,131072000,121587000,9485000
602.2,131072000,121587000,9485000
603.2,131072000,121587000,9485000
604.21,131072000,121587000,9485000
605.21,131072000,121587000,9485000
606.22,131072000,121587000,9485000
607.22,131072000,121587000,9485000
608.23,131072000,121587000,9485000
609.23,131072000,121587000,9485000
610.23,131072000,121587000,9485000
611.23,131072000,121587000,9485000
612.25,131072000,121587000,9485000
613.25,131072000,121587000,9485000
614.25,131072000,121587000,9485000
615.25,131072000,121587000,9485000
616.26,131072000,121587000,9485000
617.26,131072000,121587000,9485000
618.27,131072000,121587000,9485000
619.27,131072000,121587000,9485000
620.27,131072000,121587000,9485000
621.27,131072000,121587000,9485000
622.28,131072000,121587000,9485000
623.28,131072000,121587000,9485000
624.29,131072000,121587000,9485000
625.29,131072000,121587000,9485000
626.29,131072000,121587000,9485000
627.29,131072000,121587000,9485000
628.3,131072000,121587000,9485000
629.3,131072000,121587000,9485000
630.31,131072000,121587000,9485000
631.31,131072000,121587000,9485000
632.31,131072000,121587000,9485000
633.31,131072000,121587000,9485000
634.31,131072000,121587000,9485000
635.31,131072000,121587000,9485000
636.31,131072000,121587000,9485000
637.31,131072000,121587000,9485000
638.33,131072000,121587000,9485000
639.33,131072000,121587000,9485000
640.34,131072000,121587000,9485000
641.34,131072000,121587000,9485000
642.35,131072000,121587000,9485000
643.35,131072000,121587000,9485000
644.35,131072000,121587000,9485000
645.35,131072000,121587000,9485000
646.37,131072000,121587000,9485000
647.38,131072000,121587000,9485000
648.38,131072000,121587000,9485000
649.38,131072000,121587000,9485000
650.38,131072000,121587000,9485000
651.38,131072000,121587000,9485000
652.41,131072000,121587000,9485000
653.41,131072000,121587000,9485000
654.41,131072000,121587000,9485000
655.41,131072000,121587000,9485000
656.41,131072000,121587000,9485000
657.41,131072000,121587000,9485000
658.42,131072000,121587000,9485000
659.42,131072000,121587000,9485000
660.44,131072000,121587000,9485000
661.44,131072000,121587000,9485000
662.45,131072000,121587000,9485000
663.45,131072000,121587000,9485000
664.45,131072000,121587000,9485000
665.45,131072000,121587000,9485000
666.45,131072000,121587000,9485000
667.45,131072000,121587000,9485000
668.45,131072000,121587000,9485000
669.45,131072000,121587000,9485000
670.47,131072000,121587000,9485000
671.47,131072000,121587000,9485000
672.47,131072000,121587000,9485000
673.47,131072000,121587000,9485000
674.47,131072000,121587000,9485000
675.47,131072000,121587000,9485000
676.47,131072000,121587000,9485000
677.47,131072000,121587000,9485000
678.47,131072000,121587000,9485000
679.47,131072000,121587000,9485000
680.48,131072000,121587000,9485000
681.48,131072000,121587000,9485000
682.49,131072000,121587000,9485000
683.49,131072000,121587000,9485000
684.5,131072000,121587000,9485000
685.5,131072000,121587000,9485000
686.5,131072000,121587000,9485000
687.5,131072000,121587000,9485000
688.53,131072000,121587000,9485000
689.53,131072000,121587000,9485000
690.53,131072000,121587000,9485000
691.53,131072000,121587000,9485000
692.53,131072000,121587000,9485000
693.53,131072000,121587000,9485000
694.54,131072000,121587000,9485000
695.54,131072000,121587000,9485000
696.54,131072000,121587000,9485000
697.55,131072000,121587000,9485000
698.56,131072000,121587000,9485000
699.56,131072000,121587000,9485000
700.57,131072000,121587000,9485000
701.58,131072000,121587000,9485000
702.58,131072000,121587000,9485000
703.58,131072000,121587000,9485000
704.59,131072000,121587000,9485000
705.59,131072000,121587000,9485000
706.61,131072000,121587000,9485000
707.62,131072000,121587000,9485000
708.62,131072000,121587000,9485000
709.62,131072000,121587000,9485000
710.62,131072000,121587000,9485000
711.62,131072000,121587000,9485000
712.63,131072000,121587000,9485000
713.63,131072000,121587000,9485000
714.63,131072000,121587000,9485000
715.64,131072000,121587000,9485000
716.67,131072000,121587000,9485000
717.67,131072000,121587000,9485000
718.67,131072000,121587000,9485000
719.67,131072000,121587000,9485000
720.67,131072000,121587000,9485000
721.67,131072000,121587000,9485000
722.68,131072000,121587000,9485000
723.68,131072000,121587000,9485000
724.69,131072000,121587000,9485000
725.69,131072000,121587000,9485000
726.69,131072000,121587000,9485000
727.69,131072000,121587000,9485000
728.69,131072000,121587000,9485000
729.69,131072000,121587000,9485000
730.69,131072000,121587000,9485000
731.69,131072000,121587000,9485000
732.7,131072000,121587000,9485000
733.7,131072000,121321000,9751000
734.71,131072000,121321000,9751000
735.71,131072000,121321000,9751000
736.74,131072000,121321000,9751000
737.74,131072000,121321000,9751000
738.74,131072000,121321000,9751000
739.74,131072000,121321000,9751000
740.75,131072000,121321000,9751000
741.76,131072000,121321000,9751000
742.76,131072000,121321000,9751000
743.76,131072000,121321000,9751000
744.76,131072000,121321000,9751000
745.76,131072000,121321000,9751000
746.76,131072000,121321000,9751000
747.76,131072000,121321000,9751000
748.78,131072000,121321000,9751000
749.78,131072000,121321000,9751000
750.78,131072000,121321000,9751000
751.78,131072000,121321000,9751000
752.81,131072000,121321000,9751000
753.81,131072000,121321000,9751000
754.81,131072000,121321000,9751000
755.81,131072000,121321000,9751000
756.82,131072000,121321000,9751000
757.82,131072000,121321000,9751000
758.82,131072000,121321000,9751000
759.82,131072000,121321000,9751000
760.84,131072000,121321000,9751000
761.84,131072000,121321000,9751000
762.84,131072000,121321000,9751000
763.85,131072000,121321000,9751000
764.87,131072000,121321000,9751000
765.87,131072000,121321000,9751000
766.87,131072000,121321000,9751000
767.87,131072000,121321000,9751000
768.89,131072000,121321000,9751000
769.89,131072000,121321000,9751000
770.9,131072000,121321000,9751000
771.9,131072000,121321000,9751000
772.9,131072000,121321000,9751000
773.9,131072000,121321000,9751000
774.91,131072000,121321000,9751000
775.91,131072000,121321000,9751000
776.92,131072000,121321000,9751000
777.92,131072000,121321000,9751000
778.92,131072000,121321000,9751000
779.92,131072000,121321000,9751000
780.92,131072000,121321000,9751000
781.92,131072000,121321000,9751000
782.93,131072000,121321000,9751000
783.93,131072000,121321000,9751000
784.93,131072000,121321000,9751000
785.93,131072000,121321000,9751000
786.93,131072000,121321000,9751000
787.93,131072000,121321000,9751000
788.93,131072000,121321000,9751000
789.93,131072000,121321000,9751000
790.94,131072000,121321000,9751000
791.94,131072000,121321000,9751000
792.95,131072000,121321000,9751000
793.96,131072000,121321000,9751000
794.96,131072000,121321000,9751000
795.96,131072000,121321000,9751000
796.96,131072000,121321000,9751000
797.96,131072000,121321000,9751000
798.96,131072000,121321000,9751000
799.96,131072000,121321000,9751000
800.98,131072000,121321000,9751000
801.98,131072000,121321000,9751000
802.98,131072000,121321000,9751000
803.98,131072000,121321000,9751000
804.99,131072000,121321000,9751000
805.99,131072000,121321000,9751000
807.0,131072000,121321000,9751000
808.0,131072000,121321000,9751000
809.02,131072000,121321000,9751000
810.02,131072000,121321000,9751000
811.02,131072000,121321000,9751000
812.02,131072000,121321000,9751000
813.03,131072000,121321000,9751000
814.03,131072000,121321000,9751000
815.03,131072000,121321000,9751000
816.04,131072000,121321000,9751000
817.04,131072000,121321000,9751000
818.04,131072000,121321000,9751000
819.05,131072000,121321000,9751000
820.05,131072000,121321000,9751000
821.06,131072000,121321000,9751000
822.06,131072000,121321000,9751000
823.06,131072000,121321000,9751000
824.06,131072000,121321000,9751000
825.07,131072000,121321000,9751000
826.07,131072000,121321000,9751000
827.08,131072000,121321000,9751000
828.09,131072000,121321000,9751000
829.09,131072000,121321000,9751000
830.09,131072000,121321000,9751000
831.09,131072000,121321000,9751000
832.09,131072000,121321000,9751000
833.1,131072000,121321000,9751000
834.1,131072000,121321000,9751000
835.11,131072000,121321000,9751000
836.11,131072000,121321000,9751000
837.11,131072000,121321000,9751000
838.12,131072000,121321000,9751000
839.13,131072000,121321000,9751000
840.13,131072000,121321000,9751000
841.13,131072000,121321000,9751000
842.13,131072000,121321000,9751000
843.13,131072000,121321000,9751000
844.14,131072000,121321000,9751000
845.14,131072000,121321000,9751000
846.14,131072000,121321000,9751000
847.15,131072000,121321000,9751000
848.15,131072000,121321000,9751000
849.15,131072000,121321000,9751000
